symbol;entry;stop_loss;target;quantity;comments
SHREYANIND;312;280;434;94;Profit are icreasing but due to other income
CLEDUCATE;92;82;114;300;
ALPHAGEO;430;388;511;71;
PYRAMID;182;165;235;176;
DTIL;225;206;274;158;
MANAKALUCO;31.2;27;46;714;
HGS;899;832;1040;45;
ONEPOINT;71;63;97;375;
ACCELYA;1820;1671;2127;20;
INDIGOPNTS;1432;1350;1679;37;
NDRAUTO;980;870;1248;27;
RAJESHEXPO;293;260;402;91;
TALBROAUTO;351;310;491;73;
ARTEMISMED;200;172;258;107;
PATINTLOG;24.4;22;29.5;1250;
MAZDA;1442;1347;1660;32;
SRM;196;175;237;143;
BOROLTD;358;311;451;64;
KPITTECH;1774;"1;653.00";"2;196.00";25;
GENUSPAPER;22.9;20.1;28.5;1071;
MEGASTAR;309;280;370;103;
DPSCLTD;19.5;16.7;25.6;1071;
DCI;290;230;426;50;
SEAMECLTD;1425;"1;140.00";"2;255.00";11;
LUXIND;1645;"1;400.00";"2;629.00";12;
ALMONDZ;152;129;245;130;
AYMSYNTEX;106;80;158;115;
BIRLACABLE;262;237;340;120;
PLATIND;244;218;330;115;
DEVIT;135;122;165;231;
HITECHCORP;245;214;309;97;
VASCONEQ;77;66;93;273;
AGRITECH;211;191;252;150;
SUKHJITS;500;450;595;60;
IMPAL;1180;"1;085.00";"1;480.00";32;
CONFIPET;85;77.5;102;400;
IVC;14;12.3;22;1765;
NBCC;175;155;245;150;
MARKSANS;195;175;277;150;
ETHOSLTD;3020;"2;710.00";"4;240.00";10;
NOVAAGRI;75;65;123;300;
SRM;240;205;395;86;
NIACL;260;230;324;100;
ZUARI;207;187;258;150;
TCIEXP;1198;"1;126.00";"1;407.00";42;
AXITA;21.75;20.5;24.6;2400;
CHEMFAB;735;660;"1;080.00";40;
MVGJL;232;209;287;130;
BCLIND;57;51;86;500;
KILITCH;358;324;430;88;
GHCLTEXTIL;97;83;133;214;
SUNPHARMA;1628;"1;550.00";"1;863.00";38;
TATAMOTORS;1050;967;"1;250.00";36;
BANCOINDIA;727;650;"1;050.00";39;
LAMBODHARA;165;149;209;188;
ARVSMART;750;650;"1;070.00";30;
GUFICBIO;345;317;426;107;
INTLCONV;85;75;109;300;
